,Day,Date,Home/Away,Opponent,Score,W/L/T,Overtime,Location,Venue,Attendance,Notes,Team,Team Code
1,Sun,10/7/1945,H,Washington Redskins,28-20,W,,"Boston, MA",Fenway Park,22685,,Boston Yanks,bos
2,Sun,10/14/1945,H,New York Giants,13-13,T,,"New York, NY",Yankee Stadium,33113,,Boston Yanks,bos
3,Sun,10/21/1945,A,Green Bay Packers,14-38,L,,"West Allis, WI",Wisconsin State Fair Park,20846,,Boston Yanks,bos
4,Sun,10/28/1945,A,Pittsburgh Steelers,10-6,W,,"Pittsburgh, PA",Forbes Field,25447,,Boston Yanks,bos
5,Sun,11/4/1945,H,Detroit Lions,9-10,L,,"Boston, MA",Fenway Park,17631,,Boston Yanks,bos
6,Sun,11/11/1945,A,Washington Redskins,7-34,L,,"Washington, DC",Griffith Stadium,34788,,Boston Yanks,bos
7,Sun,11/18/1945,H,Green Bay Packers,0-28,L,,"Boston, MA",Fenway Park,33748,,Boston Yanks,bos
8,Sun,12/2/1945,A,Cleveland Rams,7-20,L,,"Cleveland, OH",League Park,18470,,Boston Yanks,bos
9,Sun,12/9/1945,A,Philadelphia Eagles,7-35,L,,"Philadelphia, PA",Shibe Park,27905,,Boston Yanks,bos
0,Tue,9/25/1945,A,Boston Yanks,7-28,L,,"Boston, MA",Fenway Park,27502,,Pittsburgh Steelers,pit
1,Sun,10/7/1945,H,New York Giants,6-34,L,,"Pittsburgh, PA",Forbes Field,20097,,Pittsburgh Steelers,pit
2,Sun,10/14/1945,H,Washington Redskins,0-14,L,,"Pittsburgh, PA",Forbes Field,14050,,Pittsburgh Steelers,pit
3,Sun,10/21/1945,A,New York Giants,21-7,W,,"New York, NY",Polo Grounds,43070,,Pittsburgh Steelers,pit
4,Sun,10/28/1945,H,Boston Yanks,6-10,L,,"Pittsburgh, PA",Forbes Field,25447,,Pittsburgh Steelers,pit
5,Sun,11/4/1945,H,Philadelphia Eagles,3-45,L,,"Pittsburgh, PA",Forbes Field,23018,,Pittsburgh Steelers,pit
6,Sun,11/11/1945,H,Chicago Cardinals,23-0,W,,"Pittsburgh, PA",Forbes Field,13153,,Pittsburgh Steelers,pit
7,Sun,11/18/1945,A,Philadelphia Eagles,6-30,L,,"Philadelphia, PA",Shibe Park,23838,,Pittsburgh Steelers,pit
8,Sun,11/25/1945,A,Chicago Bears,7-28,L,,"Chicago, IL",Wrigley Field,20689,,Pittsburgh Steelers,pit
9,Sun,12/2/1945,A,Washington Redskins,0-24,L,,"Washington, DC",Griffith Stadium,34788,,Pittsburgh Steelers,pit
0,Sun,9/30/1945,H,Chicago Cardinals,21-0,W,,"Cleveland, OH",League Park,10872,,Cleveland Rams,cle
1,Sun,10/7/1945,H,Chicago Bears,17-0,W,,"Cleveland, OH",League Park,19580,,Cleveland Rams,cle
2,Sun,10/14/1945,A,Green Bay Packers,27-14,W,,"Green Bay, WI",City Stadium,24607,,Cleveland Rams,cle
3,Sun,10/21/1945,A,Chicago Bears,41-21,W,,"Chicago, IL",Wrigley Field,28273,,Cleveland Rams,cle
4,Sun,10/28/1945,A,Philadelphia Eagles,14-28,L,,"Philadelphia, PA",Shibe Park,38149,,Cleveland Rams,cle
5,Sun,11/4/1945,A,New York Giants,21-17,W,,"New York, NY",Polo Grounds,46219,,Cleveland Rams,cle
6,Sun,11/11/1945,H,Green Bay Packers,20-7,W,,"Cleveland, OH",League Park,28688,,Cleveland Rams,cle
7,Sun,11/18/1945,A,Chicago Cardinals,35-21,W,,"Chicago, IL",Comiskey Park,18000,,Cleveland Rams,cle
8,Thu,11/22/1945,A,Detroit Lions,28-21,W,,"Detroit, MI",Briggs Stadium,40017,,Cleveland Rams,cle
9,Sun,12/2/1945,H,Boston Yanks,20-7,W,,"Cleveland, OH",League Park,18470,,Cleveland Rams,cle
10,Sun,12/16/1945,H,Washington Redskins,15-14,W,,"Cleveland, OH",Cleveland Stadium,32178,League Championship,Cleveland Rams,cle
0,Sun,9/23/1945,A,Chicago Cardinals,10-0,W,,"West Allis, WI",Wisconsin State Fair Park,5461,,Detroit Lions,det
1,Sun,10/7/1945,A,Green Bay Packers,21-57,L,,"West Allis, WI",Wisconsin State Fair Park,20463,,Detroit Lions,det
2,Sun,10/14/1945,H,Philadelphia Eagles,28-24,W,,"Detroit, MI",Briggs Stadium,22580,,Detroit Lions,det
3,Sun,10/21/1945,H,Chicago Cardinals,26-0,W,,"Detroit, MI",Briggs Stadium,32644,,Detroit Lions,det
4,Sun,10/28/1945,H,Chicago Bears,16-10,W,,"Detroit, MI",Briggs Stadium,37260,,Detroit Lions,det
5,Sun,11/4/1945,A,Boston Yanks,10-9,W,,"Boston, MA",Fenway Park,17631,,Detroit Lions,det
6,Sun,11/11/1945,A,Chicago Bears,35-28,W,,"Chicago, IL",Wrigley Field,24798,,Detroit Lions,det
7,Sun,11/18/1945,A,New York Giants,14-35,L,,"New York, NY",Polo Grounds,38215,,Detroit Lions,det
8,Thu,11/22/1945,H,Cleveland Rams,21-28,L,,"Detroit, MI",Briggs Stadium,40017,,Detroit Lions,det
9,Sun,12/2/1945,H,Green Bay Packers,14-3,W,,"Detroit, MI",Briggs Stadium,23468,,Detroit Lions,det
0,Sun,9/30/1945,H,Chicago Bears,31-21,W,,"Green Bay, WI",City Stadium,24525,,Green Bay Packers,gb
1,Sun,10/7/1945,H,Detroit Lions,57-21,W,,"West Allis, WI",Wisconsin State Fair Park,20463,,Green Bay Packers,gb
2,Sun,10/14/1945,H,Cleveland Rams,14-27,L,,"Green Bay, WI",City Stadium,24607,,Green Bay Packers,gb
3,Sun,10/21/1945,H,Boston Yanks,38-14,W,,"West Allis, WI",Wisconsin State Fair Park,20846,,Green Bay Packers,gb
4,Sun,10/28/1945,H,Chicago Cardinals,33-14,W,,"Green Bay, WI",City Stadium,19221,,Green Bay Packers,gb
5,Sun,11/4/1945,A,Chicago Bears,24-28,L,,"Chicago, IL",Wrigley Field,45527,,Green Bay Packers,gb
6,Sun,11/11/1945,A,Cleveland Rams,7-20,L,,"Cleveland, OH",League Park,28688,,Green Bay Packers,gb
7,Sun,11/18/1945,A,Boston Yanks,28-0,W,,"Boston, MA",Fenway Park,33748,,Green Bay Packers,gb
8,Sun,11/25/1945,A,New York Giants,23-14,W,,"New York, NY",Polo Grounds,52681,,Green Bay Packers,gb
9,Sun,12/2/1945,A,Detroit Lions,3-14,L,,"Detroit, MI",Briggs Stadium,23468,,Green Bay Packers,gb
0,Sun,9/30/1945,A,Green Bay Packers,21-31,L,,"Green Bay, WI",City Stadium,24525,,Chicago Bears,chib
1,Sun,10/7/1945,A,Cleveland Rams,0-17,L,,"Cleveland, OH",League Park,19580,,Chicago Bears,chib
2,Sun,10/14/1945,H,Chicago Cardinals,7-16,L,,"Chicago, IL",Wrigley Field,20784,,Chicago Bears,chib
3,Sun,10/21/1945,H,Cleveland Rams,21-41,L,,"Chicago, IL",Wrigley Field,28273,,Chicago Bears,chib
4,Sun,10/28/1945,A,Detroit Lions,10-16,L,,"Detroit, MI",Briggs Stadium,37260,,Chicago Bears,chib
5,Sun,11/4/1945,H,Green Bay Packers,28-24,W,,"Chicago, IL",Wrigley Field,45527,,Chicago Bears,chib
6,Sun,11/11/1945,H,Detroit Lions,28-35,L,,"Chicago, IL",Wrigley Field,24798,,Chicago Bears,chib
7,Sun,11/18/1945,A,Washington Redskins,21-28,L,,"Washington, DC",Griffith Stadium,34788,,Chicago Bears,chib
8,Sun,11/25/1945,H,Pittsburgh Steelers,28-7,W,,"Chicago, IL",Wrigley Field,20689,,Chicago Bears,chib
9,Sun,12/2/1945,A,Chicago Cardinals,28-20,W,,"Chicago, IL",Comiskey Park,13925,,Chicago Bears,chib
0,Sun,9/23/1945,H,Detroit Lions,0-10,L,,"West Allis, WI",Wisconsin State Fair Park,5461,,Chicago Cardinals,chic
1,Sun,9/30/1945,A,Cleveland Rams,0-21,L,,"Cleveland, OH",League Park,10872,,Chicago Cardinals,chic
2,Sun,10/7/1945,A,Philadelphia Eagles,6-21,L,,"Philadelphia, PA",Shibe Park,25581,,Chicago Cardinals,chic
3,Sun,10/14/1945,A,Chicago Bears,16-7,W,,"Chicago, IL",Wrigley Field,20784,,Chicago Cardinals,chic
4,Sun,10/21/1945,A,Detroit Lions,0-26,L,,"Detroit, MI",Briggs Stadium,32644,,Chicago Cardinals,chic
5,Sun,10/28/1945,A,Green Bay Packers,14-33,L,,"Green Bay, WI",City Stadium,19221,,Chicago Cardinals,chic
6,Sun,11/4/1945,A,Washington Redskins,21-24,L,,"Washington, DC",Griffith Stadium,34788,,Chicago Cardinals,chic
7,Sun,11/11/1945,A,Pittsburgh Steelers,0-23,L,,"Pittsburgh, PA",Forbes Field,13153,,Chicago Cardinals,chic
8,Sun,11/18/1945,H,Cleveland Rams,21-35,L,,"Chicago, IL",Comiskey Park,18000,,Chicago Cardinals,chic
9,Sun,12/2/1945,H,Chicago Bears,20-28,L,,"Chicago, IL",Comiskey Park,13925,,Chicago Cardinals,chic
0,Tue,10/1/1946,A,Boston Yanks,17-0,W,,"Boston, MA",Braves Field,16500,Postponed from 9/30,New York Giants,nyg
1,Sun,10/6/1946,A,Pittsburgh Steelers,17-14,W,,"Pittsburgh, PA",Forbes Field,33702,,New York Giants,nyg
2,Sun,10/13/1946,A,Washington Redskins,14-24,L,,"Washington, DC",Griffith Stadium,33651,,New York Giants,nyg
3,Sun,10/20/1946,H,Chicago Cardinals,28-24,W,,"New York, NY",Polo Grounds,50681,,New York Giants,nyg
4,Sun,10/27/1946,H,Chicago Bears,14-0,W,,"New York, NY",Polo Grounds,62359,,New York Giants,nyg
5,Sun,11/3/1946,A,Philadelphia Eagles,14-24,L,,"Philadelphia, PA",Shibe Park,40059,,New York Giants,nyg
6,Sun,11/10/1946,H,Philadelphia Eagles,45-17,W,,"New York, NY",Polo Grounds,60784,,New York Giants,nyg
7,Sun,11/17/1946,H,Boston Yanks,28-28,T,,"New York, NY",Polo Grounds,35583,,New York Giants,nyg
8,Sun,11/24/1946,H,Pittsburgh Steelers,7-0,W,,"New York, NY",Polo Grounds,45347,,New York Giants,nyg
9,Sun,12/1/1946,H,Los Angeles Rams,21-31,L,,"New York, NY",Polo Grounds,47366,,New York Giants,nyg
10,Sun,12/8/1946,H,Washington Redskins,31-0,W,,"New York, NY",Polo Grounds,60337,,New York Giants,nyg
11,Sun,12/15/1946,H,Chicago Bears,14-24,L,,"New York, NY",Polo Grounds,58346,League Championship,New York Giants,nyg
0,Sun,9/29/1946,A,Los Angeles Rams,25-14,W,,"Los Angeles, CA",Memorial Coliseum,30500,,Philadelphia Eagles,phi
1,Sun,10/6/1946,H,Boston Yanks,49-25,W,,"Philadelphia, PA",Shibe Park,33986,,Philadelphia Eagles,phi
2,Sun,10/13/1946,H,Green Bay Packers,7-19,L,,"Philadelphia, PA",Shibe Park,36127,,Philadelphia Eagles,phi
3,Sun,10/20/1946,A,Chicago Bears,14-21,L,,"Chicago, IL",Wrigley Field,41221,,Philadelphia Eagles,phi
4,Sun,10/27/1946,A,Washington Redskins,28-24,W,,"Washington, DC",Griffith Stadium,33691,,Philadelphia Eagles,phi
5,Sun,11/3/1946,H,New York Giants,24-14,W,,"Philadelphia, PA",Shibe Park,40059,,Philadelphia Eagles,phi
6,Sun,11/10/1946,A,New York Giants,17-45,L,,"New York, NY",Polo Grounds,60784,,Philadelphia Eagles,phi
7,Sun,11/17/1946,A,Pittsburgh Steelers,7-10,L,,"Pittsburgh, PA",Forbes Field,38882,,Philadelphia Eagles,phi
8,Sun,11/24/1946,H,Washington Redskins,10-27,L,,"Philadelphia, PA",Shibe Park,36633,,Philadelphia Eagles,phi
9,Sun,12/1/1946,H,Pittsburgh Steelers,10-7,W,,"Philadelphia, PA",Shibe Park,29943,,Philadelphia Eagles,phi
10,Sun,12/8/1946,A,Boston Yanks,40-14,W,,"Boston, MA",Fenway Park,29555,,Philadelphia Eagles,phi
0,Sun,9/29/1946,H,Pittsburgh Steelers,14-14,T,,"Washington, DC",Griffith Stadium,33620,,Washington Redskins,was
1,Sun,10/6/1946,H,Detroit Lions,17-16,W,,"Washington, DC",Griffith Stadium,33569,,Washington Redskins,was
2,Sun,10/13/1946,H,New York Giants,24-14,W,,"Washington, DC",Griffith Stadium,33651,,Washington Redskins,was
3,Sun,10/20/1946,A,Boston Yanks,14-6,W,,"Boston, MA",Fenway Park,24357,,Washington Redskins,was
4,Sun,10/27/1946,H,Philadelphia Eagles,24-28,L,,"Washington, DC",Griffith Stadium,33691,,Washington Redskins,was
5,Sun,11/3/1946,A,Pittsburgh Steelers,7-14,L,,"Pittsburgh, PA",Forbes Field,39060,,Washington Redskins,was
6,Sun,11/10/1946,H,Boston Yanks,17-14,W,,"Washington, DC",Griffith Stadium,33961,,Washington Redskins,was
7,Sun,11/17/1946,A,Chicago Bears,20-24,L,,"Chicago, IL",Wrigley Field,43315,,Washington Redskins,was
8,Sun,11/24/1946,A,Philadelphia Eagles,27-10,W,,"Philadelphia, PA",Shibe Park,36633,,Washington Redskins,was
9,Sun,12/1/1946,H,Green Bay Packers,7-20,L,,"Washington, DC",Griffith Stadium,33691,,Washington Redskins,was
10,Sun,12/8/1946,A,New York Giants,0-31,L,,"New York, NY",Polo Grounds,60337,,Washington Redskins,was
0,Fri,9/20/1946,H,Chicago Cardinals,14-7,W,,"Pittsburgh, PA",Forbes Field,32851,,Pittsburgh Steelers,pit
1,Sun,9/29/1946,A,Washington Redskins,14-14,T,,"Washington, DC",Griffith Stadium,33620,,Pittsburgh Steelers,pit
2,Sun,10/6/1946,H,New York Giants,14-17,L,,"Pittsburgh, PA",Forbes Field,33702,,Pittsburgh Steelers,pit
3,Sun,10/13/1946,H,Boston Yanks,16-7,W,,"Pittsburgh, PA",Forbes Field,34297,,Pittsburgh Steelers,pit
4,Sun,10/20/1946,A,Green Bay Packers,7-17,L,,"Green Bay, WI",City Stadium,22588,,Pittsburgh Steelers,pit
5,Sun,10/27/1946,A,Boston Yanks,33-7,W,,"Boston, MA",Fenway Park,13797,,Pittsburgh Steelers,pit
6,Sun,11/3/1946,H,Washington Redskins,14-7,W,,"Pittsburgh, PA",Forbes Field,39060,,Pittsburgh Steelers,pit
7,Sun,11/10/1946,A,Detroit Lions,7-17,L,,"Detroit, MI",Briggs Stadium,13621,,Pittsburgh Steelers,pit
8,Sun,11/17/1946,H,Philadelphia Eagles,10-7,W,,"Pittsburgh, PA",Forbes Field,38882,,Pittsburgh Steelers,pit
9,Sun,11/24/1946,A,New York Giants,0-7,L,,"New York, NY",Polo Grounds,45347,,Pittsburgh Steelers,pit
10,Sun,12/1/1946,A,Philadelphia Eagles,7-10,L,,"Philadelphia, PA",Shibe Park,29943,,Pittsburgh Steelers,pit
0,Tue,10/1/1946,H,New York Giants,0-17,L,,"Boston, MA",Braves Field,16500,Postponed from 9/30,Boston Yanks,bos
1,Sun,10/6/1946,A,Philadelphia Eagles,25-49,L,,"Philadelphia, PA",Shibe Park,33986,,Boston Yanks,bos
2,Sun,10/13/1946,A,Pittsburgh Steelers,7-16,L,,"Pittsburgh, PA",Forbes Field,34297,,Boston Yanks,bos
3,Sun,10/20/1946,H,Washington Redskins,6-14,L,,"Boston, MA",Fenway Park,24357,,Boston Yanks,bos
4,Sun,10/27/1946,H,Pittsburgh Steelers,7-33,L,,"Boston, MA",Fenway Park,13797,,Boston Yanks,bos
5,Sun,11/3/1946,H,Chicago Cardinals,14-28,L,,"Boston, MA",Fenway Park,10556,,Boston Yanks,bos
6,Sun,11/10/1946,A,Washington Redskins,14-17,L,,"Washington, DC",Griffith Stadium,33961,,Boston Yanks,bos
7,Sun,11/17/1946,A,New York Giants,28-28,T,,"New York, NY",Polo Grounds,35583,,Boston Yanks,bos
8,Sun,11/24/1946,H,Los Angeles Rams,40-21,W,,"Boston, MA",Fenway Park,23689,,Boston Yanks,bos
9,Thu,11/28/1946,A,Detroit Lions,34-10,W,,"Detroit, MI",Briggs Stadium,13010,,Boston Yanks,bos
10,Sun,12/8/1946,H,Philadelphia Eagles,14-40,L,,"Boston, MA",Fenway Park,29555,,Boston Yanks,bos
0,Sun,9/29/1946,A,Green Bay Packers,30-7,W,,"Green Bay, WI",City Stadium,25049,,Chicago Bears,chib
1,Sun,10/6/1946,A,Chicago Cardinals,34-17,W,,"Chicago, IL",Comiskey Park,39263,,Chicago Bears,chib
2,Sun,10/13/1946,H,Los Angeles Rams,28-28,T,,"Chicago, IL",Wrigley Field,44211,,Chicago Bears,chib
3,Sun,10/20/1946,H,Philadelphia Eagles,21-14,W,,"Chicago, IL",Wrigley Field,41221,,Chicago Bears,chib
4,Sun,10/27/1946,A,New York Giants,0-14,L,,"New York, NY",Polo Grounds,62359,,Chicago Bears,chib
5,Sun,11/3/1946,H,Green Bay Packers,10-7,W,,"Chicago, IL",Wrigley Field,46321,,Chicago Bears,chib
6,Sun,11/10/1946,A,Los Angeles Rams,27-21,W,,"Los Angeles, CA",Memorial Coliseum,68381,,Chicago Bears,chib
7,Sun,11/17/1946,H,Washington Redskins,24-20,W,,"Chicago, IL",Wrigley Field,43315,,Chicago Bears,chib
8,Sun,11/24/1946,H,Detroit Lions,42-6,W,,"Chicago, IL",Wrigley Field,24270,,Chicago Bears,chib
9,Sun,12/1/1946,H,Chicago Cardinals,28-35,L,,"Chicago, IL",Wrigley Field,47511,,Chicago Bears,chib
10,Sun,12/8/1946,A,Detroit Lions,45-24,W,,"Detroit, MI",Briggs Stadium,19579,,Chicago Bears,chib
11,Sun,12/15/1946,A,New York Giants,24-14,W,,"New York, NY",Polo Grounds,58346,League Championship,Chicago Bears,chib
0,Sun,9/29/1946,H,Philadelphia Eagles,14-25,L,,"Los Angeles, CA",Memorial Coliseum,30500,,Los Angeles Rams,larm
1,Sun,10/6/1946,A,Green Bay Packers,21-17,W,,"West Allis, WI",Wisconsin State Fair Park,27094,,Los Angeles Rams,larm
2,Sun,10/13/1946,A,Chicago Bears,28-28,T,,"Chicago, IL",Wrigley Field,44211,,Los Angeles Rams,larm
3,Sun,10/20/1946,H,Detroit Lions,35-14,W,,"Los Angeles, CA",Memorial Coliseum,27928,,Los Angeles Rams,larm
4,Sun,10/27/1946,A,Chicago Cardinals,10-34,L,,"Chicago, IL",Comiskey Park,38180,,Los Angeles Rams,larm
5,Sun,11/3/1946,A,Detroit Lions,41-20,W,,"Detroit, MI",Briggs Stadium,34447,,Los Angeles Rams,larm
6,Sun,11/10/1946,H,Chicago Bears,21-27,L,,"Los Angeles, CA",Memorial Coliseum,68381,,Los Angeles Rams,larm
7,Sun,11/17/1946,H,Chicago Cardinals,17-14,W,,"Los Angeles, CA",Memorial Coliseum,38271,,Los Angeles Rams,larm
8,Sun,11/24/1946,A,Boston Yanks,21-40,L,,"Boston, MA",Fenway Park,23689,,Los Angeles Rams,larm
9,Sun,12/1/1946,A,New York Giants,31-21,W,,"New York, NY",Polo Grounds,47366,,Los Angeles Rams,larm
10,Sun,12/8/1946,H,Green Bay Packers,38-17,W,,"Los Angeles, CA",Memorial Coliseum,46838,,Los Angeles Rams,larm
0,Fri,9/20/1946,A,Pittsburgh Steelers,7-14,L,,"Pittsburgh, PA",Forbes Field,32851,,Chicago Cardinals,chic
1,Mon,9/30/1946,H,Detroit Lions,34-14,W,,"Chicago, IL",Comiskey Park,14667,,Chicago Cardinals,chic
2,Sun,10/6/1946,H,Chicago Bears,17-34,L,,"Chicago, IL",Comiskey Park,39263,,Chicago Cardinals,chic
3,Sun,10/13/1946,A,Detroit Lions,36-14,W,,"Detroit, MI",Briggs Stadium,21939,,Chicago Cardinals,chic
4,Sun,10/20/1946,A,New York Giants,24-28,L,,"New York, NY",Polo Grounds,50681,,Chicago Cardinals,chic
5,Sun,10/27/1946,H,Los Angeles Rams,34-10,W,,"Chicago, IL",Comiskey Park,38180,,Chicago Cardinals,chic
6,Sun,11/3/1946,A,Boston Yanks,28-14,W,,"Boston, MA",Fenway Park,10556,,Chicago Cardinals,chic
7,Sun,11/10/1946,H,Green Bay Packers,7-19,L,,"Chicago, IL",Comiskey Park,30681,,Chicago Cardinals,chic
8,Sun,11/17/1946,A,Los Angeles Rams,14-17,L,,"Los Angeles, CA",Memorial Coliseum,38271,,Chicago Cardinals,chic
9,Sun,11/24/1946,A,Green Bay Packers,24-6,W,,"Green Bay, WI",City Stadium,16150,,Chicago Cardinals,chic
10,Sun,12/1/1946,A,Chicago Bears,35-28,W,,"Chicago, IL",Wrigley Field,47511,,Chicago Cardinals,chic
0,Sun,9/29/1946,H,Chicago Bears,7-30,L,,"Green Bay, WI",City Stadium,25049,,Green Bay Packers,gb
1,Sun,10/6/1946,H,Los Angeles Rams,17-21,L,,"West Allis, WI",Wisconsin State Fair Park,27094,,Green Bay Packers,gb
2,Sun,10/13/1946,A,Philadelphia Eagles,19-7,W,,"Philadelphia, PA",Shibe Park,36127,,Green Bay Packers,gb
3,Sun,10/20/1946,H,Pittsburgh Steelers,17-7,W,,"Green Bay, WI",City Stadium,22588,,Green Bay Packers,gb
4,Sun,10/27/1946,H,Detroit Lions,10-7,W,,"West Allis, WI",Wisconsin State Fair Park,17073,,Green Bay Packers,gb
5,Sun,11/3/1946,A,Chicago Bears,7-10,L,,"Chicago, IL",Wrigley Field,46321,,Green Bay Packers,gb
6,Sun,11/10/1946,A,Chicago Cardinals,19-7,W,,"Chicago, IL",Comiskey Park,30681,,Green Bay Packers,gb
7,Sun,11/17/1946,A,Detroit Lions,9-0,W,,"Detroit, MI",Briggs Stadium,21055,,Green Bay Packers,gb
8,Sun,11/24/1946,H,Chicago Cardinals,6-24,L,,"Green Bay, WI",City Stadium,16150,,Green Bay Packers,gb
9,Sun,12/1/1946,A,Washington Redskins,20-7,W,,"Washington, DC",Griffith Stadium,33691,,Green Bay Packers,gb
10,Sun,12/8/1946,A,Los Angeles Rams,17-38,L,,"Los Angeles, CA",Memorial Coliseum,46838,,Green Bay Packers,gb
0,Mon,9/30/1946,A,Chicago Cardinals,14-34,L,,"Chicago, IL",Comiskey Park,14667,,Detroit Lions,det
1,Sun,10/6/1946,A,Washington Redskins,16-17,L,,"Washington, DC",Griffith Stadium,33569,,Detroit Lions,det
2,Sun,10/13/1946,H,Chicago Cardinals,14-36,L,,"Detroit, MI",Briggs Stadium,21939,,Detroit Lions,det
3,Sun,10/20/1946,A,Los Angeles Rams,14-35,L,,"Los Angeles, CA",Memorial Coliseum,27928,,Detroit Lions,det
4,Sun,10/27/1946,A,Green Bay Packers,7-10,L,,"West Allis, WI",Wisconsin State Fair Park,17073,,Detroit Lions,det
5,Sun,11/3/1946,H,Los Angeles Rams,20-41,L,,"Detroit, MI",Briggs Stadium,34447,,Detroit Lions,det
6,Sun,11/10/1946,H,Pittsburgh Steelers,17-7,W,,"Detroit, MI",Briggs Stadium,13621,,Detroit Lions,det
7,Sun,11/17/1946,H,Green Bay Packers,0-9,L,,"Detroit, MI",Briggs Stadium,21055,,Detroit Lions,det
8,Sun,11/24/1946,A,Chicago Bears,6-42,L,,"Chicago, IL",Wrigley Field,24270,,Detroit Lions,det
9,Thu,11/28/1946,H,Boston Yanks,10-34,L,,"Detroit, MI",Briggs Stadium,13010,,Detroit Lions,det
10,Sun,12/8/1946,H,Chicago Bears,24-45,L,,"Detroit, MI",Briggs Stadium,19579,,Detroit Lions,det
0,Sun,9/28/1947,H,Washington Redskins,45-42,W,,"Philadelphia, PA",Municipal Stadium,35406,,Philadelphia Eagles,phi
1,Sun,10/5/1947,H,New York Giants,23-0,W,,"Philadelphia, PA",Shibe Park,29823,,Philadelphia Eagles,phi
2,Sun,10/12/1947,A,Chicago Bears,7-40,L,,"Chicago, IL",Wrigley Field,34338,,Philadelphia Eagles,phi
3,Sun,10/19/1947,A,Pittsburgh Steelers,24-35,L,,"Pittsburgh, PA",Forbes Field,33538,,Philadelphia Eagles,phi
4,Sun,10/26/1947,H,Los Angeles Rams,14-7,W,,"Philadelphia, PA",Shibe Park,36364,,Philadelphia Eagles,phi
5,Sun,11/2/1947,A,Washington Redskins,38-14,W,,"Washington, DC",Griffith Stadium,36591,,Philadelphia Eagles,phi
6,Sun,11/9/1947,A,New York Giants,41-24,W,,"New York, NY",Polo Grounds,29016,,Philadelphia Eagles,phi
7,Sun,11/16/1947,H,Boston Yanks,32-0,W,,"Philadelphia, PA",Shibe Park,26498,,Philadelphia Eagles,phi
8,Sun,11/23/1947,A,Boston Yanks,14-21,L,,"Boston, MA",Fenway Park,15368,,Philadelphia Eagles,phi
9,Sun,11/30/1947,H,Pittsburgh Steelers,21-0,W,,"Philadelphia, PA",Shibe Park,37218,,Philadelphia Eagles,phi
10,Sun,12/7/1947,H,Chicago Cardinals,21-45,L,,"Philadelphia, PA",Shibe Park,32322,,Philadelphia Eagles,phi
11,Sun,12/14/1947,H,Green Bay Packers,28-14,W,,"Philadelphia, PA",Shibe Park,24216,,Philadelphia Eagles,phi
12,Sun,12/21/1947,A,Pittsburgh Steelers,21-0,W,,"Pittsburgh, PA",Forbes Field,35729,Eastern Division Playoff,Philadelphia Eagles,phi
13,Sun,12/28/1947,A,Chicago Cardinals,21-28,L,,"Chicago, IL",Comiskey Park,30759,League Championship,Philadelphia Eagles,phi
0,Sun,9/21/1947,H,Detroit Lions,17-10,W,,"Pittsburgh, PA",Forbes Field,34681,,Pittsburgh Steelers,pit
1,Mon,9/29/1947,H,Los Angeles Rams,7-48,L,,"Pittsburgh, PA",Forbes Field,35658,,Pittsburgh Steelers,pit
2,Sun,10/5/1947,A,Washington Redskins,26-27,L,,"Washington, DC",Griffith Stadium,36585,,Pittsburgh Steelers,pit
3,Sun,10/12/1947,A,Boston Yanks,30-14,W,,"Boston, MA",Fenway Park,18894,,Pittsburgh Steelers,pit
4,Sun,10/19/1947,H,Philadelphia Eagles,35-24,W,,"Pittsburgh, PA",Forbes Field,33538,,Pittsburgh Steelers,pit
5,Sun,10/26/1947,A,New York Giants,38-21,W,,"New York, NY",Polo Grounds,41736,,Pittsburgh Steelers,pit
6,Sun,11/2/1947,A,Green Bay Packers,18-17,W,,"West Allis, WI",Wisconsin State Fair Park,30073,,Pittsburgh Steelers,pit
7,Sun,11/9/1947,H,Washington Redskins,21-14,W,,"Pittsburgh, PA",Forbes Field,36257,,Pittsburgh Steelers,pit
8,Sun,11/16/1947,H,New York Giants,24-7,W,,"Pittsburgh, PA",Forbes Field,35000,,Pittsburgh Steelers,pit
9,Sun,11/23/1947,A,Chicago Bears,7-49,L,,"Chicago, IL",Wrigley Field,34142,,Pittsburgh Steelers,pit
10,Sun,11/30/1947,A,Philadelphia Eagles,0-21,L,,"Philadelphia, PA",Shibe Park,37218,,Pittsburgh Steelers,pit
11,Sun,12/7/1947,H,Boston Yanks,17-7,W,,"Pittsburgh, PA",Forbes Field,31398,,Pittsburgh Steelers,pit
12,Sun,12/21/1947,H,Philadelphia Eagles,0-21,L,,"Pittsburgh, PA",Forbes Field,35729,Eastern Division Playoff,Pittsburgh Steelers,pit
0,Mon,9/29/1947,H,New York Giants,7-7,T,,"Boston, MA",Fenway Park,21905,,Boston Yanks,bos
1,Sun,10/5/1947,H,Detroit Lions,7-21,L,,"Boston, MA",Fenway Park,16097,,Boston Yanks,bos
2,Sun,10/12/1947,H,Pittsburgh Steelers,14-30,L,,"Boston, MA",Fenway Park,18894,,Boston Yanks,bos
3,Sun,10/19/1947,A,New York Giants,14-0,W,,"New York, NY",Polo Grounds,37144,,Boston Yanks,bos
4,Sun,10/26/1947,A,Chicago Cardinals,7-27,L,,"Chicago, IL",Comiskey Park,22286,,Boston Yanks,bos
5,Sun,11/2/1947,H,Chicago Bears,24-28,L,,"Boston, MA",Fenway Park,24894,,Boston Yanks,bos
